municipio;Total;Branca;Preta;Amarela;Parda;Indígena;n_declarado
Ourilândia do Norte (PA);13089;3010;570;191;8537;781;-
Pacajá (PA);18380;3272;1759;273;13069;7;-
Palestina do Pará (PA);3596;635;241;32;2684;4;-
Paragominas (PA);48552;10546;4013;529;33019;445;-
Parauapebas (PA);76015;17879;5108;972;51495;561;-
Pau D'Arco (PA);2855;586;198;21;1913;137;-
Peixe-Boi (PA);3815;948;262;28;2576;1;-
Piçarra (PA);5921;1268;514;63;4075;1;-
Placas (PA);11366;2473;982;98;7800;13;-
Ponta de Pedras (PA);12620;2448;710;56;9402;4;-
Portel (PA);25354;4194;1574;137;19444;5;-
Porto de Moz (PA);16344;2202;1157;65;12920;-;-
Prainha (PA);13833;1825;251;28;11728;1;-
Primavera (PA);4968;1156;167;92;3553;-;-
Quatipuru (PA);5950;1634;225;9;4081;1;-
Redenção (PA);37540;9958;2747;509;24184;142;-
Rio Maria (PA);8536;2613;742;189;4984;8;-
Rondon do Pará (PA);22690;5236;1387;161;15825;81;-
Rurópolis (PA);19212;4399;1086;165;13540;21;1
Salinópolis (PA);18325;3145;339;64;14755;22;-
Salvaterra (PA);9891;1341;1171;87;7288;4;-
Santa Bárbara do Pará (PA);8386;1360;567;38;6417;4;-
Santa Cruz do Arari (PA);4013;514;635;61;2803;-;-
Santa Isabel do Pará (PA);28310;5590;1871;346;20474;29;-
Santa Luzia do Pará (PA);9540;1873;380;19;7002;266;-
Santa Maria das Barreiras (PA);7709;1857;608;132;5068;44;-
Santa Maria do Pará (PA);11534;2396;285;79;8715;59;-
Santana do Araguaia (PA);26365;5837;2532;747;17219;30;-
Santarém (PA);149047;31277;6690;1523;108280;1277;-
Santarém Novo (PA);2930;383;118;15;2414;-;-
Santo Antônio do Tauá (PA);13241;2926;506;136;9651;22;-
São Caetano de Odivelas (PA);8085;1589;140;17;6339;-;-
São Domingos do Araguaia (PA);11229;2597;999;224;7404;5;-
São Domingos do Capim (PA);14105;1798;762;62;11483;-;-
São Félix do Xingu (PA);42649;10703;4465;626;26231;624;-
