municipio;Total;Branca;Preta;Amarela;Parda;Indígena;n_declarado
São Pedro do Ivaí (PR);5052;3354;281;50;1367;-;-
São Pedro do Paraná (PR);1230;604;25;6;595;-;-
São Sebastião da Amoreira (PR);4370;2575;156;224;1411;4;-
São Tomé (PR);2653;1817;65;6;765;-;-
Sapopema (PR);3229;2275;83;27;837;7;-
Sarandi (PR);42017;23714;1947;427;15897;32;-
Saudade do Iguaçu (PR);2491;1739;37;6;709;-;-
Sengés (PR);8951;6255;154;39;2491;12;-
Serranópolis do Iguaçu (PR);2339;2060;12;8;257;2;-
Sertaneja (PR);2921;1996;92;110;723;-;-
Sertanópolis (PR);7890;5881;288;37;1684;-;-
Siqueira Campos (PR);9248;7260;164;52;1770;2;-
Sulina (PR);1681;1433;27;3;218;-;-
Tamarana (PR);5986;3581;205;73;1387;740;-
Tamboara (PR);2355;1681;109;7;558;-;-
Tapejara (PR);7293;4303;220;58;2711;1;-
Tapira (PR);2918;1678;117;24;1096;3;-
Teixeira Soares (PR);4951;3588;60;15;1281;7;-
Telêmaco Borba (PR);35486;25540;685;164;9026;71;-
Terra Boa (PR);7954;5145;185;50;2574;-;-
Terra Rica (PR);7612;3956;373;110;3167;6;-
Terra Roxa (PR);8464;5592;319;119;2363;71;-
Tibagi (PR);9540;6421;319;33;2754;13;-
Tijucas do Sul (PR);6991;5264;244;39;1409;35;-
Toledo (PR);60976;42748;1561;528;16103;36;-
Tomazina (PR);4261;2980;102;26;1108;44;1
Três Barras do Paraná (PR);5830;4496;117;14;1203;-;-
Tunas do Paraná (PR);2985;1777;142;11;1055;-;-
Tuneiras do Oeste (PR);4254;2635;92;17;1508;2;-
Tupãssi (PR);3946;2808;39;9;1086;4;-
Turvo (PR);6831;4817;90;37;1596;291;-
Ubiratã (PR);11054;7002;248;195;3602;7;-
Umuarama (PR);51888;34461;1725;944;14706;52;-
União da Vitória (PR);26917;20782;425;152;5511;47;-
Uniflor (PR);1234;684;18;7;525;-;-
Uraí (PR);5791;3567;278;361;1584;1;-
Wenceslau Braz (PR);9787;7450;227;123;1977;10;-
Ventania (PR);4813;3452;89;24;1246;2;-
Vera Cruz do Oeste (PR);4562;2679;124;65;1693;1;-
Verê (PR);3940;3142;63;29;706;-;-
Alto Paraíso (PR);1587;685;77;7;814;4;-
Doutor Ulysses (PR);2747;1789;67;14;874;3;-
Virmond (PR);1951;1506;52;13;377;3;-
Vitorino (PR);3283;2773;80;11;400;19;-
Xambrê (PR);3014;1656;135;17;1202;4;-
Abdon Batista (SC);1271;1059;85;2;125;-;-
Abelardo Luz (SC);8472;5500;423;58;2319;172;-
Agrolândia (SC);4624;4052;25;4;540;3;-
Agronômica (SC);2407;2253;43;7;104;-;-
Água Doce (SC);3407;2280;194;42;881;10;-
Águas de Chapecó (SC);2986;2125;119;23;716;3;-
Águas Frias (SC);1145;883;70;16;172;4;-
Águas Mornas (SC);2738;2588;45;6;98;1;-
Alfredo Wagner (SC);4626;4107;62;8;447;2;-
Alto Bela Vista (SC);1000;938;8;8;46;-;-
Anchieta (SC);3149;2424;60;1;664;-;-
Angelina (SC);2485;2427;19;2;37;-;-
Anita Garibaldi (SC);4283;2754;81;34;1410;4;-
Anitápolis (SC);1539;1492;8;2;37;-;-
Antônio Carlos (SC);3701;3483;63;4;150;1;-
Apiúna (SC);4734;4192;30;8;494;10;-
Arabutã (SC);2060;1907;23;3;127;-;-
Araquari (SC);12162;9778;533;32;1709;110;-
Araranguá (SC);31172;28191;540;57;2346;38;-
Armazém (SC);3829;3574;31;5;219;-;-
Arroio Trinta (SC);1755;1622;32;2;98;1;-
Arvoredo (SC);1031;888;52;8;79;4;-
Ascurra (SC);3732;3571;15;4;141;1;-
Atalanta (SC);1639;1527;39;15;58;-;-
Aurora (SC);2725;2582;27;3;113;-;-
Balneário Arroio do Silva (SC);4843;4210;151;10;460;12;-
Balneário Camboriú (SC);56696;49974;962;321;5380;59;-
Balneário Barra do Sul (SC);4258;3774;77;18;353;36;-
Balneário Gaivota (SC);4142;3858;67;6;208;3;-
Bandeirante (SC);1371;1134;56;2;179;-;-
Barra Bonita (SC);902;711;25;3;163;-;-
Barra Velha (SC);11283;9454;246;64;1489;30;-
Bela Vista do Toldo (SC);2900;2323;142;26;409;-;-
Belmonte (SC);1277;1023;5;1;248;-;-
Benedito Novo (SC);5056;4588;62;38;360;8;-
Biguaçu (SC);29541;24839;1357;72;3121;152;-
Blumenau (SC);157469;142368;2315;440;12174;172;-
Bocaina do Sul (SC);1590;1238;19;11;314;8;-
Bombinhas (SC);7099;5834;148;40;1060;17;-
Bom Jardim da Serra (SC);2142;1318;50;5;769;-;-
Bom Jesus (SC);1273;905;30;10;327;1;-
Bom Jesus do Oeste (SC);1054;947;22;4;81;-;-
Bom Retiro (SC);4429;3302;159;42;917;9;-
Botuverá (SC);2190;1923;3;4;260;-;-
Braço do Norte (SC);14485;13084;441;23;926;11;-
Braço do Trombudo (SC);1692;1614;3;1;71;3;-
Brunópolis (SC);1398;1143;86;14;155;-;-
Brusque (SC);53103;46714;741;200;5404;44;-
Caçador (SC);35722;25096;866;314;9378;68;-
Caibi (SC);3077;2523;126;15;413;-;-
Calmon (SC);1638;846;93;26;665;8;-
Camboriú (SC);31202;26202;747;130;4079;42;2
Capão Alto (SC);1322;990;22;7;302;1;-
Campo Alegre (SC);5778;4889;123;21;745;-;-
Campo Belo do Sul (SC);3633;2247;50;57;1277;2;-
Campo Erê (SC);4684;3116;237;46;1279;6;-
Campos Novos (SC);16567;12374;351;103;3705;34;-
Canelinha (SC);5231;4515;152;11;538;15;-
Canoinhas (SC);26721;22363;282;119;3946;11;-
Capinzal (SC);10536;8367;177;57;1920;15;-
Capivari de Baixo (SC);11175;9084;960;14;1107;6;4
Catanduvas (SC);4792;3123;80;24;1561;4;-
Caxambu do Sul (SC);2192;1708;72;7;400;5;-
Celso Ramos (SC);1376;1134;25;-;217;-;-
Cerro Negro (SC);1708;933;31;5;739;-;-
Chapadão do Lageado (SC);1337;1227;14;8;84;4;-
Chapecó (SC);92904;72327;2165;535;17161;716;-
Cocal do Sul (SC);7636;7237;95;21;283;-;-
Concórdia (SC);34850;30245;806;148;3620;31;-
Cordilheira Alta (SC);1846;1556;73;16;201;-;-
Coronel Freitas (SC);5024;4220;146;14;643;1;-
Coronel Martins (SC);1196;913;124;2;157;-;-
Corupá (SC);6850;6327;39;11;473;-;-
Correia Pinto (SC);7409;5259;302;161;1684;3;-
Criciúma (SC);97701;84768;5850;202;6772;109;-
Cunha Porã (SC);5355;4876;85;18;375;1;-
Cunhataí (SC);878;861;-;-;17;-;-
Curitibanos (SC);19227;13665;258;265;5005;34;-
Descanso (SC);4278;3748;47;6;473;4;-
Dionísio Cerqueira (SC);7397;5210;211;71;1901;4;-
Dona Emma (SC);1812;1616;30;10;154;2;-
Doutor Pedrinho (SC);1810;1555;6;2;134;113;-
Entre Rios (SC);1461;754;55;16;332;304;-
Ermo (SC);984;924;13;5;40;2;-
Erval Velho (SC);2204;1849;64;7;284;-;-
Faxinal dos Guedes (SC);5304;3813;214;6;1266;5;-
Flor do Sertão (SC);761;590;33;4;134;-;-
Florianópolis (SC);218193;186007;10585;1107;19979;501;14
Formosa do Sul (SC);1274;1075;86;-;113;-;-
Forquilhinha (SC);11241;10149;219;42;820;11;-
Fraiburgo (SC);17392;12013;323;108;4887;61;-
Frei Rogério (SC);1186;820;2;34;330;-;-
Galvão (SC);1752;1301;136;9;305;1;-
Garopaba (SC);9011;8194;282;17;512;6;-
Garuva (SC);7221;5659;150;45;1345;22;-
Gaspar (SC);29303;26120;619;99;2437;28;-
Governador Celso Ramos (SC);6358;5912;129;8;309;-;-
Grão Pará (SC);2988;2815;50;2;118;3;-
Gravatal (SC);5349;4866;262;1;218;2;-
Guabiruba (SC);9079;8270;82;10;713;4;-
Guaraciaba (SC);5198;4619;36;5;536;2;-
Guaramirim (SC);17332;14767;238;61;2239;18;9
Guarujá do Sul (SC);2507;2145;82;18;261;1;-
Guatambú (SC);2208;1607;132;27;442;-;-
Herval d'Oeste (SC);10742;7804;377;25;2526;10;-
Ibiam (SC);964;813;12;10;129;-;-
Ibicaré (SC);1598;1392;11;2;190;3;-
Ibirama (SC);8664;8116;129;24;383;12;-
Içara (SC);29530;27228;920;51;1298;33;-
Ilhota (SC);6128;5373;74;8;660;13;-
Imaruí (SC);5807;5398;104;3;239;63;-
Imbituba (SC);20365;18889;623;29;802;22;-
Imbuia (SC);2817;2686;26;9;96;-;-
Indaial (SC);27423;24304;343;106;2629;41;-
Iomerê (SC);1346;1310;25;-;11;-;-
Ipira (SC);2386;2227;27;2;130;-;-
Iporã do Oeste (SC);4151;3848;74;17;211;1;-
Ipuaçu (SC);3325;1287;51;8;311;1668;-
Ipumirim (SC);3555;3311;68;1;171;4;-
Iraceminha (SC);2081;1756;64;3;256;2;-
Irani (SC);4681;3479;278;65;856;3;-
Irati (SC);1024;789;102;9;124;-;-
Irineópolis (SC);5102;3951;69;3;1077;2;-
Itá (SC);3208;2796;125;29;254;4;-
Itaiópolis (SC);9892;8022;107;57;1686;20;-
Itajaí (SC);93262;79276;3497;345;10059;85;-
Itapema (SC);23406;19967;693;129;2546;71;-
Itapiranga (SC);7551;6759;100;50;634;8;-
Itapoá (SC);7316;5616;140;40;1496;24;-
Ituporanga (SC);11155;10062;343;22;726;2;-
Jaborá (SC);2028;1620;105;20;282;1;-
Jacinto Machado (SC);5347;4564;89;8;683;3;-
Jaguaruna (SC);8665;7750;460;9;443;3;-
Jaraguá do Sul (SC);71322;62366;1409;218;7285;41;3
Jardinópolis (SC);866;700;35;18;113;-;-
Joaçaba (SC);14012;11683;337;109;1879;4;-
Joinville (SC);259532;224432;6245;958;27641;252;4
José Boiteux (SC);2329;1747;28;2;80;472;-
Jupiá (SC);1054;907;53;9;85;-;-
Lacerdópolis (SC);1103;1000;28;-;74;1;-
Lages (SC);80775;59641;2315;522;18186;111;-
Laguna (SC);26257;23456;1062;37;1646;56;-
Lajeado Grande (SC);734;643;42;1;47;1;-
Laurentino (SC);3003;2892;15;3;93;-;-
Lauro Muller (SC);7180;6505;118;10;535;12;-
Lebon Régis (SC);5757;3360;82;68;2242;5;-
Leoberto Leal (SC);1611;1596;3;-;12;-;-
Lindóia do Sul (SC);2249;1930;103;2;211;3;-
Lontras (SC);5118;4800;46;17;244;11;-
Luiz Alves (SC);5055;4461;50;23;520;1;-
Luzerna (SC);2860;2570;14;8;268;-;-
Macieira (SC);878;662;9;1;206;-;-
Mafra (SC);26661;23027;207;95;3298;34;-
Major Gercino (SC);1607;1535;8;1;31;32;-
Major Vieira (SC);3680;2957;27;15;681;-;-
Maracajá (SC);3156;2916;34;9;188;9;-
Maravilha (SC);11194;9606;219;40;1321;8;-
Marema (SC);1068;951;70;3;43;1;-
Massaranduba (SC);7225;6747;46;10;419;3;-
Matos Costa (SC);1364;908;48;25;378;5;-
Meleiro (SC);3542;3470;21;2;49;-;-
Mirim Doce (SC);1240;1115;7;-;118;-;-
Modelo (SC);1975;1678;21;5;267;4;-
Mondaí (SC);4809;4277;70;7;451;3;1
Monte Carlo (SC);4572;3031;194;60;1287;-;-
Monte Castelo (SC);4063;3000;94;5;964;-;-
Morro da Fumaça (SC);8048;7293;343;7;398;7;-
Morro Grande (SC);1377;1304;21;-;52;-;-
Navegantes (SC);30398;24575;706;149;4867;101;-
Nova Erechim (SC);2070;1721;47;4;298;-;-
Nova Itaberaba (SC);2057;1639;36;8;374;-;-
Nova Trento (SC);6009;5563;39;13;386;8;-
Nova Veneza (SC);6590;5915;168;33;472;2;-
Novo Horizonte (SC);1300;1067;52;9;172;-;-
Orleans (SC);10759;10040;161;12;538;8;-
Otacílio Costa (SC);8075;5964;72;125;1902;12;-
Ouro (SC);3701;3295;61;10;333;2;-
Ouro Verde (SC);1121;731;11;12;366;1;-
Paial (SC);824;674;30;4;116;-;-
Painel (SC);1121;801;58;13;249;-;-
Palhoça (SC);68898;58482;2632;186;7388;210;-
Palma Sola (SC);3808;2803;291;11;698;5;-
Palmeira (SC);1152;814;28;20;287;3;-
Palmitos (SC);8002;6898;248;43;804;9;-
Papanduva (SC);8756;6449;91;40;2171;5;-
Paraíso (SC);1989;1643;45;4;297;-;-
Passo de Torres (SC);3275;2972;64;9;228;2;-
Passos Maia (SC);2184;1319;181;53;626;5;-
Paulo Lopes (SC);3288;2940;109;13;226;-;-
Pedras Grandes (SC);2009;1968;5;2;34;-;-
Penha (SC);12603;11210;173;35;1179;6;-
Peritiba (SC);1504;1404;5;1;94;-;-
Petrolândia (SC);2966;2672;37;7;248;2;-
Balneário Piçarras (SC);8557;7408;150;28;962;9;-
Pinhalzinho (SC);8155;6872;267;35;971;10;-
Pinheiro Preto (SC);1531;1234;56;3;238;-;-
Piratuba (SC);2413;2084;26;18;283;2;-
Planalto Alegre (SC);1271;938;37;1;295;-;-
Pomerode (SC);13855;12751;93;48;952;11;-
Ponte Alta (SC);2440;1610;60;11;758;1;-
Ponte Alta do Norte (SC);1659;937;15;17;690;-;-
Ponte Serrada (SC);5497;3325;340;93;1735;4;-
Porto Belo (SC);8085;7163;248;25;643;6;-
Porto União (SC);17045;13834;343;137;2690;41;-
Pouso Redondo (SC);7306;6058;43;79;1117;9;-
Praia Grande (SC);3609;3285;109;15;196;4;-
Presidente Castello Branco (SC);844;816;8;1;19;-;-
Presidente Getúlio (SC);7483;6934;73;10;442;24;-
Presidente Nereu (SC);1117;1033;4;-;80;-;-
Princesa (SC);1337;1122;6;6;203;-;-
Quilombo (SC);5080;4051;217;34;771;7;-
Rancho Queimado (SC);1350;1261;17;2;70;-;-
Rio das Antas (SC);2990;2152;81;11;740;6;-
Rio do Campo (SC);3013;2667;52;7;285;2;-
Rio do Oeste (SC);3491;3278;15;19;178;1;-
Rio dos Cedros (SC);5016;4433;47;13;521;2;-
Rio do Sul (SC);31220;28244;584;92;2244;56;-
Rio Fortuna (SC);2152;2079;19;10;43;1;-
Rio Negrinho (SC);19869;16097;175;64;3521;12;-
Rio Rufino (SC);1191;811;46;14;320;-;-
Riqueza (SC);2340;1877;77;17;369;-;-
Rodeio (SC);5435;5110;37;5;275;3;5
Romelândia (SC);2758;2183;55;9;511;-;-
Salete (SC);3598;3306;6;6;280;-;-
Saltinho (SC);1921;1316;58;9;538;-;-
Salto Veloso (SC);2112;1699;53;16;344;-;-
Sangão (SC);5078;4503;257;4;314;-;-
Santa Cecília (SC);7908;5617;192;93;1992;14;-
Santa Helena (SC);1146;964;22;-;160;-;-
Santa Rosa de Lima (SC);973;936;4;2;31;-;-
Santa Rosa do Sul (SC);4004;3625;169;8;198;4;-
Santa Terezinha (SC);4067;3527;43;11;486;-;-
Santa Terezinha do Progresso (SC);1403;1090;99;4;209;1;-
Santiago do Sul (SC);711;556;38;2;115;-;-
Santo Amaro da Imperatriz (SC);9839;9078;288;7;459;7;-
São Bernardino (SC);1270;893;127;1;247;2;-
São Bento do Sul (SC);37562;32850;381;93;4221;17;-
São Bonifácio (SC);1457;1431;9;2;15;-;-
São Carlos (SC);5120;4488;90;11;530;1;-
São Cristovão do Sul (SC);2162;1434;86;76;561;5;-
São Domingos (SC);4711;3366;219;3;1122;1;-
São Francisco do Sul (SC);21338;17295;687;105;3162;89;-
São João do Oeste (SC);2938;2861;19;-;58;-;-
São João Batista (SC);12973;11657;228;23;1050;15;-
São João do Itaperiú (SC);1645;1573;20;3;49;-;-
São João do Sul (SC);3472;3251;49;3;166;3;-
São Joaquim (SC);12378;8263;627;153;3324;11;-
São José (SC);108412;92330;5333;379;10147;215;8
São José do Cedro (SC);6792;5781;229;25;754;3;-
São José do Cerrito (SC);4472;3355;118;66;932;1;-
São Lourenço do Oeste (SC);10964;9254;245;18;1443;4;-
São Ludgero (SC);5368;4796;160;17;385;10;-
São Martinho (SC);1549;1508;7;-;34;-;-
São Miguel da Boa Vista (SC);925;779;21;6;119;-;-
São Miguel do Oeste (SC);18656;15664;472;42;2441;37;-
São Pedro de Alcântara (SC);1716;1614;19;3;77;3;-
Saudades (SC);4398;3995;173;4;225;1;-
Schroeder (SC);7515;6405;83;36;974;17;-
Seara (SC);8411;7117;252;47;927;68;-
Serra Alta (SC);1651;1396;31;6;218;-;-
Siderópolis (SC);6518;5523;431;11;552;1;-
Sombrio (SC);13541;12717;308;32;476;8;-
Sul Brasil (SC);1329;1076;37;13;203;-;-
Taió (SC);8570;7877;75;15;597;6;-
Tangará (SC);4204;3467;104;15;616;2;-
Tigrinhos (SC);855;668;25;6;156;-;-
Tijucas (SC);15466;13340;687;29;1300;110;-
Timbé do Sul (SC);2615;2342;43;3;227;-;-
Timbó (SC);18530;17254;151;60;1049;16;-
Timbó Grande (SC);3555;2125;22;22;1386;-;-
Três Barras (SC);9072;6406;167;24;2469;6;-
Treviso (SC);1738;1645;9;-;83;1;-
Treze de Maio (SC);3425;3332;26;2;59;6;-
Treze Tílias (SC);3191;2581;37;5;568;-;-
Trombudo Central (SC);3285;2888;33;6;353;5;-
Tubarão (SC);50121;45560;2104;79;2353;25;-
Tunápolis (SC);2265;2140;37;6;82;-;-
Turvo (SC);6004;5553;70;6;373;2;-
União do Oeste (SC);1435;1136;79;4;215;1;-
Urubici (SC);5303;3868;163;25;1247;-;-
Urupema (SC);1208;924;122;10;152;-;-
Urussanga (SC);10288;9845;171;7;262;3;-
Vargeão (SC);1747;1337;91;1;316;2;-
Vargem (SC);1362;1069;25;4;264;-;-
Vargem Bonita (SC);2365;1502;147;74;640;2;-
Vidal Ramos (SC);3032;2817;45;1;168;1;-
Videira (SC);23909;19311;657;170;3740;31;-
Vitor Meireles (SC);2437;2114;6;1;115;201;-
Witmarsum (SC);1773;1669;2;-;101;1;-
Xanxerê (SC);22547;17035;618;233;4585;76;-
Xavantina (SC);1982;1791;59;-;132;-;-
Xaxim (SC);12937;10153;321;52;2396;15;-
Zortéa (SC);1454;1064;15;4;371;-;-
Aceguá (RS);2091;1708;150;13;219;1;-
Água Santa (RS);1843;1538;22;2;165;116;-
Agudo (RS);8373;7324;250;34;763;2;-
Ajuricaba (RS);3670;3169;54;4;431;12;-
Alecrim (RS);3533;2959;43;9;521;1;-
Alegrete (RS);39602;28676;2694;147;7980;105;-
Alegria (RS);2152;1816;28;6;302;-;-
Almirante Tamandaré do Sul (RS);1026;954;20;1;50;1;-
Alpestre (RS);3898;3345;130;2;420;1;-
Alto Alegre (RS);904;801;2;6;94;1;-
Alto Feliz (RS);1417;1367;17;1;29;3;-
Alvorada (RS);100593;74282;12745;282;13094;190;-
Amaral Ferrador (RS);3072;2470;375;23;204;-;-
Ametista do Sul (RS);3591;2530;51;7;1000;3;-
André da Rocha (RS);596;483;23;5;80;5;-
Anta Gorda (RS);3048;2935;27;2;84;-;-
Antônio Prado (RS);6428;5500;132;15;781;-;-
Arambaré (RS);1839;1548;222;1;68;-;-
Araricá (RS);2408;2109;47;6;244;2;-
Aratiba (RS);3225;2970;66;7;182;-;-
Arroio do Meio (RS);9430;8757;144;10;517;2;-
Arroio do Sal (RS);3907;3555;93;1;255;3;-
Arroio do Padre (RS);1316;1208;62;8;38;-;-
Arroio dos Ratos (RS);6971;5951;440;29;544;7;-
Arroio do Tigre (RS);6264;5378;222;56;608;-;-
Arroio Grande (RS);9296;7915;626;20;729;6;-
Arvorezinha (RS);5091;4406;126;13;546;-;-
Augusto Pestana (RS);3609;3295;104;6;202;2;-
Áurea (RS);1858;1718;25;7;108;-;-
Bagé (RS);60990;46463;5601;115;8781;30;-
Balneário Pinhal (RS);5512;4631;240;26;610;5;-
Barão (RS);2829;2669;23;2;130;5;-
Barão de Cotegipe (RS);3233;2899;42;30;259;3;-
Barão do Triunfo (RS);3277;2937;99;22;217;2;-
Barracão (RS);2666;2169;91;24;381;1;-
Barra do Guarita (RS);1539;1307;67;4;160;1;-
Barra do Quaraí (RS);1884;1282;116;4;482;-;-
Barra do Ribeiro (RS);6319;5367;406;7;437;102;-
Barra do Rio Azul (RS);954;902;18;1;33;-;-
Barra Funda (RS);1190;1022;57;7;104;-;-
Barros Cassal (RS);5404;4015;74;18;1294;3;-
Benjamin Constant do Sul (RS);1112;566;22;25;22;477;-
Bento Gonçalves (RS);54633;48272;993;119;5201;48;-
Boa Vista das Missões (RS);1058;823;12;4;219;-;-
Boa Vista do Buricá (RS);3279;2994;137;-;148;-;-
Boa Vista do Cadeado (RS);1184;1086;13;8;77;-;-
Boa Vista do Incra (RS);1182;1081;12;-;88;1;-
Boa Vista do Sul (RS);1307;1288;4;-;15;-;-
Bom Jesus (RS);5816;3983;266;82;1485;-;-
Bom Princípio (RS);5760;5468;58;14;219;1;-
Bom Progresso (RS);1161;980;19;-;162;-;-
Bom Retiro do Sul (RS);5817;5288;296;11;220;2;-
Boqueirão do Leão (RS);3736;2878;52;13;793;-;-
Bossoroca (RS);3375;2561;300;141;373;-;-
Bozano (RS);1100;984;42;-;71;3;-
Braga (RS);1836;1365;62;14;395;-;-
Brochier (RS);2277;2198;42;1;36;-;-
Butiá (RS);10374;8379;831;46;1106;12;-
Caçapava do Sul (RS);17361;14059;1929;58;1283;32;-
Cacequi (RS);6840;5409;344;23;1054;10;-
Cachoeira do Sul (RS);43449;36676;3414;106;3216;37;-
Cachoeirinha (RS);61105;53107;3424;128;4336;110;-
Cacique Doble (RS);2451;1737;74;10;164;465;1
Caibaté (RS);2422;1913;10;11;487;1;-
Caiçara (RS);2486;2054;56;5;371;-;-
Camaquã (RS);31864;27876;2298;75;1556;59;-
Camargo (RS);1301;1156;15;10;120;-;-
Cambará do Sul (RS);3192;2586;159;24;423;-;-
Campestre da Serra (RS);1573;1328;28;4;212;1;-
Campina das Missões (RS);3061;2891;50;7;113;-;-
Campinas do Sul (RS);2856;2463;40;18;335;-;-
Campo Bom (RS);30603;27573;667;53;2285;25;-
Campo Novo (RS);2774;2356;103;14;295;6;-
Campos Borges (RS);1740;1521;27;14;177;1;-
Candelária (RS);15419;13223;623;30;1543;-;-
Cândido Godói (RS);3217;3147;6;2;62;-;-
Candiota (RS);4290;3277;328;12;666;7;-
Canela (RS);20109;16711;712;181;2483;22;-
Canguçu (RS);26403;23892;1451;113;932;15;-
Canoas (RS);167891;143840;10029;382;13425;215;-
Canudos do Vale (RS);848;818;7;-;21;2;-
Capão Bonito do Sul (RS);811;733;14;1;62;1;-
Capão da Canoa (RS);21424;18789;1065;71;1467;32;-
Capão do Cipó (RS);1476;1153;60;5;258;-;-
Capão do Leão (RS);12336;10202;1048;57;1000;29;-
Capivari do Sul (RS);1955;1548;200;2;194;11;-
Capela de Santana (RS);5764;4985;155;31;586;7;-
Capitão (RS);1283;1192;22;8;61;-;-
Carazinho (RS);31037;27142;909;66;2866;54;-
Caraá (RS);3514;3376;38;-;74;26;-
Carlos Barbosa (RS);12530;11863;128;27;505;4;3
Carlos Gomes (RS);773;758;8;-;7;-;-
Casca (RS);4408;4089;60;7;249;3;-
Caseiros (RS);1490;1282;20;-;187;1;-
Catuípe (RS);4733;4062;108;25;538;-;-
Caxias do Sul (RS);221952;186144;6658;926;27968;253;3
Centenário (RS);1424;1377;7;5;35;-;-
Cerrito (RS);3189;2746;223;7;204;9;-
Cerro Branco (RS);2229;1910;87;10;221;1;-
Cerro Grande (RS);1208;923;55;8;221;1;-
Cerro Grande do Sul (RS);4913;4138;187;21;566;1;-
Cerro Largo (RS);6672;5505;104;23;1038;2;-
Chapada (RS);4784;4258;33;26;467;-;-
Charqueadas (RS);15787;13948;637;28;1155;19;-
Charrua (RS);1743;944;5;2;30;762;-
Chiapetta (RS);2069;1643;73;1;352;-;-
Chuí (RS);2996;2692;85;4;214;1;-
Chuvisca (RS);2341;2168;108;10;54;1;-
Cidreira (RS);6423;5386;378;9;602;48;-
Ciríaco (RS);2410;1907;45;33;425;-;-
Colinas (RS);1212;1186;5;2;18;1;-
Colorado (RS);1823;1534;126;8;155;-;-
Condor (RS);3333;2600;105;7;620;1;-
Constantina (RS);4976;4034;99;6;591;246;-
Coqueiro Baixo (RS);737;684;30;-;23;-;-
Coqueiros do Sul (RS);1202;1093;32;7;70;-;-
Coronel Barros (RS);1240;1079;23;7;131;-;-
Coronel Bicaco (RS);3946;2887;118;10;929;2;-
Coronel Pilar (RS);831;808;6;-;17;-;-
Cotiporã (RS);1884;1783;21;-;80;-;-
Coxilha (RS);1438;1207;48;10;169;4;-
Crissiumal (RS);7171;6447;62;3;659;-;-
Cristal (RS);3594;3011;327;3;253;-;-
Cristal do Sul (RS);1385;1035;25;1;324;-;-
Cruz Alta (RS);33078;28560;1131;111;3237;39;-
Cruzaltense (RS);1040;937;46;6;51;-;-
Cruzeiro do Sul (RS);6163;5492;186;35;449;1;-
David Canabarro (RS);2273;2032;53;-;188;-;-
Derrubadas (RS);1586;1294;34;13;245;-;-
Dezesseis de Novembro (RS);1397;1147;11;10;229;-;-
Dilermando de Aguiar (RS);1485;1132;49;13;291;-;-
Dois Irmãos (RS);13919;12842;203;50;797;27;-
Dois Irmãos das Missões (RS);1077;731;119;13;213;1;-
Dois Lajeados (RS);1625;1536;34;4;51;-;-
Dom Feliciano (RS);6982;5773;642;52;515;-;-
Dom Pedro de Alcântara (RS);1209;1181;15;4;9;-;-
Dom Pedrito (RS);19791;15698;1565;50;2466;12;-
Dona Francisca (RS);1723;1375;81;2;265;-;-
Doutor Maurício Cardoso (RS);2667;2241;17;10;399;-;-
Doutor Ricardo (RS);995;908;26;3;58;-;-
Eldorado do Sul (RS);17344;14203;1099;54;1933;55;-
Encantado (RS);10578;9529;280;11;748;10;-
Encruzilhada do Sul (RS);12212;9579;1065;127;1409;32;-
Engenho Velho (RS);785;494;14;2;16;259;-
Entre-Ijuís (RS);4523;4043;56;10;414;-;-
Entre Rios do Sul (RS);1524;1166;41;10;306;1;-
Erebango (RS);1480;1059;31;-;251;139;-
Erechim (RS);49863;42932;958;141;5779;53;-
Ernestina (RS);1526;1403;8;4;111;-;-
Herval (RS);3270;2585;208;17;458;2;-
Erval Grande (RS);2541;2122;99;11;309;-;-
Erval Seco (RS);3958;2900;75;38;844;101;-
Esmeralda (RS);1596;1184;51;17;343;1;-
Esperança do Sul (RS);1622;1424;14;4;180;-;-
Espumoso (RS);7708;6766;139;50;749;4;-
Estação (RS);3060;2688;103;5;264;-;-
Estância Velha (RS);21539;19645;506;53;1324;11;-
Esteio (RS);41782;35949;2487;106;3196;42;2
Estrela (RS);15500;13887;486;19;1036;72;-
Estrela Velha (RS);1782;1652;29;26;55;20;-
Eugênio de Castro (RS);1383;1049;31;39;264;-;-
Fagundes Varela (RS);1279;1224;12;3;38;2;-
Farroupilha (RS);32332;28401;807;173;2874;77;-
Faxinal do Soturno (RS);3398;2763;197;3;435;-;-
Faxinalzinho (RS);1284;992;56;6;143;87;-
Fazenda Vilanova (RS);1841;1681;97;2;57;4;-
Feliz (RS);6198;5972;64;9;150;3;-
Flores da Cunha (RS);13574;12149;193;49;1176;7;-
Floriano Peixoto (RS);937;916;3;1;17;-;-
Fontoura Xavier (RS);5258;3836;67;34;1319;2;-
Formigueiro (RS);3444;2713;493;13;225;-;-
Forquetinha (RS);1214;1180;4;1;29;-;-
Fortaleza dos Valos (RS);2334;2070;27;-;237;-;-
Frederico Westphalen (RS);14715;12491;228;39;1954;3;-
Garibaldi (RS);15468;14441;169;31;814;13;-
Garruchos (RS);1552;1164;31;3;351;3;-
Gaurama (RS);3030;2789;46;3;191;1;-
General Câmara (RS);4214;3837;171;10;194;2;-
Gentil (RS);788;672;28;10;29;49;-
Getúlio Vargas (RS);8305;7100;173;24;974;34;-
Giruá (RS);8737;7123;218;86;1304;6;-
Glorinha (RS);3355;2942;178;13;222;-;-
Gramado (RS);16600;14996;319;26;1255;4;-
